Género;Fecha de nacimiento;Nivel de Educación;Nacionalidad;Pais de residencia;Proceso;FIT;Estado Proceso;Carrera 1;Institucion 1;Nivel de estudio;Estado de carrera;Área de estudio;Carrera 2;Institución 2;Nivel de estudio 2;Estado de carrera 2;Area de estudio 2
M;1998-11-07;Magister;chile;chile;Analista Compras;93;Proceso Inactivo;Ingenieria Comercial;Universidad Adolfo Ibáñez;Postgrado;Titulado/Titulada;Administración;;;;;
M;1986-11-24;Magister;chile;Chile;Analista Compras;84;Proceso Inactivo;Ingenieria En Administracion;Duoc UC;Pregrado;Titulado/Titulada;Finanzas;Ingeniera Comercial;Universidad Central;Pregrado;Titulado/Titulada;Finanzas
F;1990-04-05;Universitaria;perú;Perú;Tripulante de Cabina TC+;89;Proceso Inactivo;Administracion De Empresas;UNIVERSIDAD PERUANA DE LOS ANDES;Pregrado;Egresado/Egresada;Administración;AVIACION COMERCIAL;CENTRO DE ESTUDIOS COLUMBIA;Pregrado;Egresado/Egresada;Turismo y Hotelería
F;1982-08-28;Magister;perú;perú;Tripulante de Cabina TC+;95;Proceso Inactivo;Turismo Y Hoteleria;Universidad Particular Inca Garcilaso de la Vega;Pregrado;Titulado/Titulada;Turismo y Hotelería;Maestria en Gestion Cultural;Universitat de Barcelona;Postgrado;Titulado/Titulada;Economía
M;1980-04-28;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;92;Proceso Inactivo;tripulante aereo;Avianca - Taca;Educación Técnico Profesional;Egresado/Egresada;Transporte y Telecomunicación;Plan Especial Tecnico En Administracion;IPAE;Educación Técnico Profesional;Egresado/Egresada;Administración
F;1974-08-20;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;88;Proceso Inactivo;Gastronomia Y Cocina Internacional;Universidad San Ignacio de Loyola;Educación Técnico Profesional;Egresado/Egresada;Alimentos;;;;;
F;1989-09-30;Media/Secundaria;perú;Perú;Tripulante de Cabina TC+;82;Proceso Inactivo;Diseño Grafico;Cibertec;Otra;Otro;Diseño;;;;;
F;1988-11-10;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;85;Proceso Inactivo;Aviación Comercial;AVIA;Educación Técnico Profesional;Egresado/Egresada;Transporte y Telecomunicación;Comunicacion y Publicidad;Universidad Cientifica del Sur;Pregrado;En curso;Comunicación
F;1988-11-12;Universitaria;perú;perú;Tripulante de Cabina TC+;95;Proceso Inactivo;Comunicación Empresarial;Universidad de Lima;Otra;Egresado/Egresada;Artes de comunicación;;;;;
F;1976-02-04;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;88;Proceso Inactivo;Ingles Intermedio;Virgen de las Mercedez;Otra;Egresado/Egresada;Letras;aviacion comercial;Avia;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería
F;1992-09-26;Universitaria;perú;perú;Tripulante de Cabina TC+;87;Proceso Inactivo;Turismo Y Hoteleria;Universidad Ricardo Palma;Pregrado;En curso;Turismo y Hotelería;;;;;
F;1967-09-04;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;90;Proceso Inactivo;Educacion General;Universidad Nacional de La Libertad, Trujillo;Educación Técnico Profesional;Egresado/Egresada;Educación Básica;;;;;
F;1970-11-17;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;93;Proceso Inactivo;Diseño;Instituto José Sabogal;Educación Técnico Profesional;Egresado/Egresada;Diseño;;;;;
F;1987-05-03;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;90;Proceso Inactivo;Aviación comercial;CAE Training center;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;;;;;
M;1985-02-11;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;89;Proceso Inactivo;Piloto Privado;Master Of The Sky;Educación Técnico Profesional;Titulado/Titulada;Turismo y Hotelería;Piloto Comercial;Master Of The Sky;Educación Técnico Profesional;En curso;Transporte y Telecomunicación
F;1991-11-27;Universitaria;perú;Perú;Tripulante de Cabina TC+;87;Proceso Inactivo;AVIACION COMERCIAL;INSTITUTO AVIA;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;Administracion De Empresas;Universidad Señor de Sipán;Pregrado;Egresado/Egresada;Administración
F;1991-03-11;Media/Secundaria;perú;perú;Tripulante de Cabina TC+;85;Proceso Inactivo;;;;;;;;;;
M;1990-01-06;Universitaria;perú;Perú;Tripulante de Cabina TC+;89;Proceso Inactivo;Administración de Negocios Internacionales;Instituto Cibertec;Educación Técnico Profesional;Egresado/Egresada;Administración;Marketing;Universidad Peruana de Ciencias Aplicadas - UPC;Pregrado;Egresado/Egresada;Marketing
F;1992-02-20;Universitaria;perú;perú;Tripulante de Cabina TC+;93;Proceso Inactivo;Pedagogia Educacion Basica;instituto pedagogico nacional monterrico;Otra;Titulado/Titulada;Educación Básica;;;;;
M;1995-05-29;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;90;Proceso Inactivo;Mecanica Aeronautica;Elmer Faucett;Educación Técnico Profesional;Titulado/Titulada;Mecánica;;;;;
F;1989-02-05;Media/Secundaria;perú;perú;Tripulante de Cabina TC+;80;Proceso Inactivo;;;;;;;;;;
M;1981-11-03;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;96;Proceso Inactivo;Administracion Hotelera;Cenfotur;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;;;;;
F;1975-01-03;Universitaria;perú;perú;Tripulante de Cabina TC+;88;Proceso Inactivo;Negocios Internacionales;Universidad San Ignacio de Loyola;Pregrado;Egresado/Egresada;Administración;Administracion De Empresas;Instituto San Ignacio de Loyola;Educación Técnico Profesional;Egresado/Egresada;Administración
M;1983-07-30;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;76;Proceso Inactivo;Piloto Comercial;Universidad Alas Peruanas;Otra;Otro;Turismo y Hotelería;;;;;
F;1987-09-25;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;92;Proceso Inactivo;Administracion En Hoteleria Y Servicios;CENFOTUR;Educación Técnico Profesional;Egresado/Egresada;Administración;;;;;
F;1984-04-26;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;93;Proceso Inactivo;Diseño Grafico;Centro deCapacitación FAP;Educación Técnico Profesional;Egresado/Egresada;Diseño;;;;;
M;1979-02-15;Universitaria;perú;Perú;Tripulante de Cabina TC+;94;Proceso Inactivo;ingenieria de sistemas;Universidad Particular Inca Garcilaso de la Vega;Otra;Otro;Computación e Informática;;;;;
F;1977-12-12;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;90;Proceso Inactivo;Administracion En Hoteleria Y Servicios;Instituto San Martin del Peru;Educación Técnico Profesional;Otro;Turismo y Hotelería;;;;;
F;1996-12-17;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;86;Proceso Inactivo;Fotografia;centro de la imagen;Pregrado;Egresado/Egresada;Artes de comunicación;;;;;
F;1981-10-04;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;90;Proceso Inactivo;Diseño De Imagen Especialidad Moda;CEAM;Educación Técnico Profesional;Egresado/Egresada;Comercio;;;;;
M;1984-11-26;Universitaria;perú;perú;Tripulante de Cabina TC+;84;Proceso Inactivo;Hoteleria Y Turismo;Universidad de San Martín de Porres;Educación Técnico Profesional;Titulado/Titulada;Turismo y Hotelería;;;;;
F;1995-11-20;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;90;Proceso Inactivo;Administracion;ISIL;Educación Técnico Profesional;Titulado/Titulada;Administración;;;;;
M;1980-05-05;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;94;Proceso Inactivo;Administracion Hotelera;Centro de Formación en Turismo - Cenfotur;Postgrado;Titulado/Titulada;Turismo y Hotelería;;;;;
M;1988-04-16;Universitaria;perú;Perú;Tripulante de Cabina TC+;83;Proceso Inactivo;Licenciatura En Derecho;Universidad Alas Peruanas;Pregrado;Titulado/Titulada;Derecho;;;;;
M;1978-09-19;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;83;Proceso Inactivo;Administracion De Empresas Hoteleras Y Servicios;cenfotur;Educación Técnico Profesional;Egresado/Egresada;Alimentos;;;;;
M;1983-01-25;Universitaria;perú;perú;Tripulante de Cabina TC+;92;Proceso Inactivo;Psicologia;Universidad Continental;Otra;En curso;Psicología;;;;;
F;1993-11-01;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;88;Proceso Inactivo;Aviación Comercial;Instituto Superior Columbia;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;;;;;
M;1977-04-15;Universitaria;perú;Perú;Tripulante de Cabina TC+;90;Proceso Inactivo;ADMINISTRACION HOTELERA Y TURISMO;SAN MARTIN DE PORRES;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;Curso de Introducción a la Innovación Empresaria;IPAE EGEL;Otra;Otro;Alimentos
M;1988-05-24;Universitaria;perú;Perú;Tripulante de Cabina TC+;96;Proceso Inactivo;Administración de Empresas;Universidad Señor de Sipan;Pregrado;Egresado/Egresada;Administración;;;;;
M;1983-07-23;Universitaria;perú;perú;Tripulante de Cabina TC+;92;Proceso Inactivo;Turismo;Universidad San Ignacio de Loyola;Pregrado;Egresado/Egresada;Turismo y Hotelería;;;;;
M;1989-12-27;Universitaria;perú;perú;Tripulante de Cabina TC+;93;Proceso Inactivo;Ciencias de la Comunicación;Universidad San Martin de Porres;Pregrado;Egresado/Egresada;Comunicaciones;;;;;
F;1989-09-20;Universitaria;perú;perú;Tripulante de Cabina TC+;86;Proceso Inactivo;aviación comercial;Columbia College;Otra;Egresado/Egresada;Turismo y Hotelería;Derecho;Universidad Particular Inca Garcilaso de la Vega;Otra;En curso;Derecho
F;1996-03-14;Universitaria;perú;perú;Tripulante de Cabina TC+;87;Proceso Inactivo;Administracion;UAP;Postgrado;En curso;Administración;;;;;
M;1984-04-30;Técnico profesional superior;perú;perú;Tripulante de Cabina TC+;95;Proceso Inactivo;Aviacion Comercial - Tripulante de Cabina;Centro de Estudios Columbia;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;;;;;
M;1970-11-26;Universitaria;perú;Perú;Tripulante de Cabina TC+;78;Proceso Inactivo;Bachillerato En Odontologia;Universidad Particular San Martin de Porres;Pregrado;Egresado/Egresada;Odontología;economia;Universidad Particular San Martin de Porres;Pregrado;En curso;Economía
M;1978-09-21;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;88;Proceso Inactivo;Nutrición Deportiva;Instituto de Investigación y Desarrollo del Deporte: IDDE;Educación Técnico Profesional;Egresado/Egresada;Nutrición y Dietética;Administracion En Hoteleria Y Servicios;Centro de Formación en Turismo: CENFOTUR;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería
M;1976-06-10;Universitaria;perú;perú;Tripulante de Cabina TC+;90;Proceso Inactivo;Ciencias Forestales;Universidad Nacional Agraria La Molina;Pregrado;Otro;Forestal;;;;;
F;1986-12-09;Universitaria;perú;perú;Tripulante de Cabina TC+;91;Proceso Inactivo;Administracion Hotelera;Universidad San Ignacio de Loyola;Educación Técnico Profesional;Egresado/Egresada;Administración;;;;;
F;1982-06-07;Técnico profesional superior;perú;Perú;Tripulante de Cabina TC+;93;Proceso Inactivo;Aviacion Profesional;Centro de Estudios de Aviacion Avia;Educación Técnico Profesional;Titulado/Titulada;Transporte y Telecomunicación;;;;;
M;1985-05-23;Media/Secundaria;perú;Perú;Tripulante de Cabina TC+;95;Proceso Inactivo;;;;;;;;;;
F;1997-02-14;Universitaria;perú;perú;Analista de Alianzas Senior - PE;85;Proceso Activo;Ingenieria Industrial;Universidad Peruana de Ciencias Aplicadas;Pregrado;Egresado/Egresada;Marketing;;;;;
M;1997-03-07;Universitaria;peruano;Perú;Analista de Alianzas Senior - PE;97;Proceso Activo;Ingeniería empresarial;Universidad San Ignacio de Loyola;Pregrado;Egresado/Egresada;Industrial;;;;;
F;1998-11-05;Universitaria;perú;perú;Analista de Alianzas Senior - PE;84;Proceso Activo;Administracion;Universidad de Lima;Pregrado;Egresado/Egresada;Administración;;;;;
F;1990-05-25;Magister;perú;perú;Analista de Alianzas Senior - PE;96;Proceso Activo;Ingenieria Industrial;Universidad Católica de Santa María;Pregrado;Titulado/Titulada;Administración;Maestría en Administración;Universidad ESAN;Postgrado;Titulado/Titulada;Administración
F;1996-12-28;Postgrado;perú;perú;Analista de Alianzas Senior - PE;89;Proceso Activo;Turismo Y Hoteleria;Universidad de San Martín de Porres;Pregrado;Titulado/Titulada;Turismo y Hotelería;Marketing Management;Seneca College;Postgrado;En curso;Marketing
M;1998-05-15;Postgrado;perú;Perú;Analista de Alianzas Senior - PE;92;Proceso Activo;Especialización de Dirección Empresarial;Santo Tomás Moro Business School;Educación Técnico Profesional;Egresado/Egresada;Administración;Diplomado en Estrategia e Innovación Empresarial;Universidad de Monterrey;Educación Técnico Profesional;En curso;Administración
M;1989-06-12;Magister;perú;perú;Analista de Alianzas Senior - PE;91;Proceso Activo;Economia;Universidad del Pacifico;Pregrado;Egresado/Egresada;Economía;MBA;INCAE Business School;Postgrado;Titulado/Titulada;Administración
M;1993-05-05;Magister;perú;perú;Analista de Alianzas Senior - PE;95;Proceso Activo;ingenieria pesquera;Universidad Nacional Agraria La Molina;Pregrado;Egresado/Egresada;Recursos Marinos;;;;;
F;1994-10-05;Universitaria;perú;perú;Analista de Alianzas Senior - PE;100;Proceso Activo;Economía;Universidad Nacional Mayor de San Marcos;Pregrado;Titulado/Titulada;Economía;;;;;
F;1997-12-18;Universitaria;perú;perú;Analista de Alianzas Senior - PE;87;Proceso Activo;Publicista Y Comunicacion Integral;Universidad Peruana de Ciencias Aplicadas;Pregrado;Egresado/Egresada;Comunicaciones;;;;;
F;1995-06-06;Postgrado;perú;Perú;Analista de Alianzas Senior - PE;85;Proceso Activo;Administracion;Universidad César Vallejo;Pregrado;Titulado/Titulada;Administración;Diplomatura en Gestión de Marketing Digital, con mención del Tecnológico de Monterrey (MX);Pontificia Universidad Católica del Perú;Otra;Egresado/Egresada;Marketing
M;1994-01-12;Universitaria;perú;perú;Analista de Alianzas Senior - PE;93;Proceso Activo;Ingenieria Industrial;UNIVERSIDAD ESAN;Otra;Titulado/Titulada;Industrial;;;;;
M;1997-04-01;Universitaria;perú;perú;Analista de Alianzas Senior - PE;98;Proceso Activo;Publicista Y Comunicacion Integral;Universidad San Ignacio de Loyola;Pregrado;Egresado/Egresada;Bachillerato / College;;;;;
M;1989-06-10;Universitaria;perú;perú;Analista de Alianzas Senior - PE;86;Proceso Activo;Administracion De Empresas;Universidad San Martin de Porres;Pregrado;Titulado/Titulada;Administración;;;;;
F;1997-10-14;Universitaria;perú;Perú;Analista de Alianzas Senior - PE;100;Proceso Activo;Administracion Y Gestion De Empresas;Universidad del Pacifico;Pregrado;En curso;Administración;;;;;
F;1993-10-29;Postgrado;perú;perú;Analista de Alianzas Senior - PE;85;Proceso Activo;comunicación y marketing digital;Universidad Peruana de Ciencias Aplicadas;Postgrado;En curso;Marketing;;;;;
M;1987-07-24;Postgrado;perú;perú;Analista de Alianzas Senior - PE;83;Proceso Activo;Ciencias de la comunicación;Universidad de Lima;Pregrado;Egresado/Egresada;Comunicaciones;marketing digital;Instituto San Ignacio de Loyola;Otra;Egresado/Egresada;Marketing
M;1987-05-11;Postgrado;perú;perú;Analista de Alianzas Senior - PE;93;Proceso Activo;Ingenieria Industrial;Universidad Nacional de Ingeniería;Pregrado;Egresado/Egresada;Industrial;;;;;
M;2000-12-22;Universitaria;perú;perú;Analista de Alianzas Senior - PE;98;Proceso Activo;Negocios Internacionales;Universidad del Pacífico;Pregrado;En curso;Administración;;;;;
M;1992-05-14;Universitaria;perú;perú;Analista de Alianzas Senior - PE;86;Proceso Activo;Administracion De Empresas Mencion Marketing;Universidad Privada del Norte;Pregrado;Titulado/Titulada;Marketing;;;;;
M;1991-10-02;Universitaria;perú;perú;Analista de Alianzas Senior - PE;99;Proceso Activo;Ingenieria Industrial;Universidad San Ignacio de Loyola;Pregrado;Egresado/Egresada;Industrial;ADMINISTRACION INDUSTRIAL;SENATI;Educación Técnico Profesional;Titulado/Titulada;Administración
F;1990-01-16;Postgrado;perú;perú;Analista de Alianzas Senior - PE;85;Proceso Activo;Administración y Marketing;Universidad Peruana de Ciencias Aplicadas;Postgrado;Titulado/Titulada;Marketing;;;;;
M;1995-05-29;Postgrado;perú;perú;Analista de Alianzas Senior - PE;94;Proceso Activo;Comunicaciones y Marketing;Universidad Peruana de Ciencias Aplicadas;Otra;Egresado/Egresada;Marketing;Traduccion Ingles Español;ICPNA;Educación Técnico Profesional;Egresado/Egresada;Bachillerato / College
F;1995-01-21;Universitaria;perú;perú;Analista de Alianzas Senior - PE;88;Proceso Activo;Administracion;Universidad de Lima;Pregrado;Titulado/Titulada;Administración;;;;;
M;1997-10-05;Universitaria;perú;perú;Analista de Alianzas Senior - PE;91;Proceso Activo;Administración y Marketing;Universidad Peruana de Ciencias Aplicadas (UPC);Pregrado;Titulado/Titulada;Administración;;;;;
M;1993-05-18;Universitaria;perú;perú;Analista de Alianzas Senior - PE;89;Proceso Activo;Marketing Y Gestion Comercial;Universidad de Lima;Pregrado;Egresado/Egresada;Marketing;;;;;
F;1992-03-30;Postgrado;perú;Perú;Analista de Alianzas Senior - PE;84;Proceso Activo;Negocios Internacionlaes;Universidad Peruana de Ciencias Aplicadas;Pregrado;Egresado/Egresada;Comercio;Gerencia de estrategia de Portafolios;Universidad Peruana de Ciencias Aplicadas;Otra;Egresado/Egresada;Marketing
M;1994-07-08;Universitaria;perú;perú;Analista de Alianzas Senior - PE;100;Proceso Activo;Ingenieria Industrial;Universidad de Lima;Pregrado;Egresado/Egresada;Industrial;;;;;
F;1993-10-15;Postgrado;perú;Perú;Analista de Alianzas Senior - PE;89;Proceso Activo;Ingenieria de sistemas;Universidad Nacional Mayor de San Marcos;Pregrado;Egresado/Egresada;Computación e Informática;LEADING DIGITAL TRANSFORMATION;MIT;Postgrado;Titulado/Titulada;Marketing
M;1988-03-28;Universitaria;chile;chile;Coordinador(a) de rutas - SCL;85;Proceso Inactivo;Tecnico Universitario En Mantenimiento Aeronautico;"Universidad Técnica ""Federico Santa María""";Pregrado;Titulado/Titulada;Mecánica;Ingenieria Industrial;Inacap;Pregrado;Titulado/Titulada;Industrial
F;1984-05-26;Técnico profesional superior;perú;Chile;Coordinador(a) de rutas - SCL;88;Proceso Inactivo;Relaciones Publicas;Instituto AIEP;Otra;Otro;Comunicación;Aviacion Comercial y Turismo;Instituto profesional AVIA;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería
M;1995-03-10;Universitaria;perú;Chile;Coordinador(a) de rutas - SCL;91;Proceso Inactivo;Ingeniería en Aviación Comercial;Universidad Técnica Federico Santa María;Pregrado;Egresado/Egresada;Transporte y Telecomunicación;;;;;
M;1994-09-14;Técnico profesional superior;chile;Chile;Coordinador(a) de rutas - SCL;82;Proceso Inactivo;Ingenieria En Gestion Logistica;DuocUC;Pregrado;Titulado/Titulada;Administración;Ingenieria Civil Industrial;Universidad de Las Américas;Pregrado;En curso;Ingeniería Civil
F;1999-06-07;Técnico profesional superior;perú;perú;Jefe de Operaciones de Pasajeros - PE;77;Proceso Activo;aviacion comercial;instituto columbia;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;;;;;
M;1978-03-27;Universitaria;perú;perú;Jefe de Operaciones de Pasajeros - PE;77;Proceso Activo;Comunicacion Audiovisual;TECH University;Pregrado;En curso;Comunicaciones;;;;;
F;1989-04-28;Técnico profesional superior;perú;perú;Jefe de Operaciones de Pasajeros - PE;65;Proceso Activo;aviacion comercial;instituto Avia;Educación Técnico Profesional;Egresado/Egresada;Turismo y Hotelería;Comercio Exterior;instituto san ignacio de loyola;Educación Técnico Profesional;Egresado/Egresada;Comercio
M;1994-02-22;Técnico profesional superior;perú;perú;Jefe de Operaciones de Pasajeros - PE;73;Proceso Activo;Administracion de negocios;Instituto Peruano de Administración de Empresas - IPAE;Educación Técnico Profesional;Egresado/Egresada;Administración;;;;;
M;1982-01-04;Universitaria;perú;perú;Jefe de Operaciones de Pasajeros - PE;86;Proceso Activo;Turismo Y Hoteleria;Universidad San Martin de Porres;Otra;Otro;Turismo y Hotelería;;;;;
F;1990-03-14;Universitaria;perú;perú;Jefe de Operaciones de Pasajeros - PE;81;Proceso Activo;Administracion;Universidad Nacional Federico Villarreal;Educación Técnico Profesional;Titulado/Titulada;Administración;;;;;
M;1994-09-12;Universitaria;chile;chile;Analista Tributario;90;Proceso Inactivo;Contador Auditor;Escuela de Contadores Auditores de Santiago;Educación Técnico Profesional;Titulado/Titulada;Contabilidad;;;;;
M;1994-12-18;Técnico profesional superior;chile;chile;Analista Tributario;86;Proceso Inactivo;Contador Auditor;Duoc UC;Educación Técnico Profesional;Titulado/Titulada;Contabilidad;;;;;
M;1990-02-22;Magister;venezuela;chile;Analista Tributario;80;Proceso Inactivo;Contador Auditor-Contador Publico;Universidad Dr. Rafael Belloso Chacín;Pregrado;Titulado/Titulada;Contabilidad;;;;;
M;1982-11-22;Universitaria;chile;chile;Analista Tributario;88;Proceso Inactivo;Contador Auditor;Universidad de Las Américas;Postgrado;Egresado/Egresada;Contabilidad;;;;;
F;1993-05-10;Magister;chile;chile;Analista Tributario;96;Proceso Inactivo;Magister en tributacion;Universidad Mayor;Postgrado;En curso;Contabilidad;Contador Publico Y Auditor;Universidad del Bío-Bío;Pregrado;Titulado/Titulada;Contabilidad
F;1990-03-27;Universitaria;chile;Chile;Analista Tributario;87;Proceso Inactivo;Diplomado en planificacion tributaria empresarial;Universidad Mayor;Postgrado;Titulado/Titulada;Contabilidad;Diplomando en IFRS;Universidad Mayor;Postgrado;Titulado/Titulada;Contabilidad
F;1991-05-10;Universitaria;chile;chile;Analista Tributario;77;Proceso Inactivo;Contador Publico Y Auditor;Universidad del Bío-Bío;Pregrado;Titulado/Titulada;Contabilidad;;;;;
M;1991-09-29;Universitaria;chile;chile;Analista Planificación y Control de Gestión Senior;98;Proceso Inactivo;Ingenieria En Informacion Y Control De Gestion;Universidad de Chile;Pregrado;Titulado/Titulada;Administración;;;;;
M;1988-01-28;Universitaria;chile;chile;Analista Planificación y Control de Gestión Senior;83;Proceso Inactivo;Ingenieria Industrial;Universidad Nacional Andrés Bello;Pregrado;Egresado/Egresada;Finanzas;;;;;
M;1993-12-06;Universitaria;chile;chile;Analista Planificación y Control de Gestión Senior;94;Proceso Inactivo;Ingenieria En Aviacion Comercial;"Universidad Técnica ""Federico Santa María""";Postgrado;Titulado/Titulada;Transporte y Telecomunicación;;;;;
M;1989-02-01;Universitaria;chile;chile;Analista Planificación y Control de Gestión Senior;91;Proceso Inactivo;Ingenieria Civil Industrial;Universidad Nacional Andrés Bello;Pregrado;Titulado/Titulada;Industrial;;;;;
M;1991-01-31;Magister;chile;chile;Analista Planificación y Control de Gestión Senior;84;Proceso Inactivo;Ingenieria Comercial;Universidad International SEK, Santiago;Pregrado;Titulado/Titulada;Administración;Diplomado en Planificación y Control Financiero;Universidad de Chile;Otra;Titulado/Titulada;Finanzas
M;1980-04-12;Universitaria;chile;Chile;Analista Planificación y Control de Gestión Senior;95;Proceso Inactivo;Ingeniería Civil Industrial;Universidad de Santiago de Chile;Pregrado;Egresado/Egresada;Ingeniería Civil;;;;;
M;1978-03-29;Universitaria;chile;Chile;Analista Planificación y Control de Gestión Senior;80;Proceso Inactivo;Ingenieria Comercial;Universidad del Desarrollo;Pregrado;Titulado/Titulada;Administración;Micro Masters in Data, Economics, and Development Policy;MITx;Postgrado;Titulado/Titulada;Economía
M;1991-09-18;Magister;chile;chile;Analista Planificación y Control de Gestión Senior;87;Proceso Inactivo;MÁSTER EN DIRECCIÓN y GESTION FINANCIERA;EAE Business School;Otra;Titulado/Titulada;Finanzas;DIPLOMADO EN CONTROL DE GESTION GERENCIAL;Universidad de Chile;Postgrado;Titulado/Titulada;Finanzas
M;1996-11-07;Universitaria;chile;chile;Analista Planificación y Control de Gestión Senior;94;Proceso Inactivo;Ingenieria Civil Industrial;"Universidad Técnica ""Federico Santa María""";Pregrado;Titulado/Titulada;Ingeniería Civil;;;;;
